,Algorithm,CrossValMeans,CrossValerrors,Time,test
0,DecisionTree,0.99320987654321,0.002016040940562263,0.04299127799458802,0.9941358024691358
1,SVC,0.9953703703703705,0.0012600255878514436,23.596945320954546,0.9987654320987654
2,LogisticRegression,0.763888888888889,0.009091996335508506,0.1320476100081578,0.7657407407407407
3,KNeighboors,0.9414609053497942,0.0010491809698750605,0.21655348502099514,0.9611111111111111
4,MultipleLayerPerceptron,0.9996913580246913,0.0002520051175703051,29.452826595981605,0.9993827160493827
5,NaiveBayes,0.6395061728395062,0.012735611625879684,0.05422540497966111,0.6410493827160494
6,RandomForest,0.9934156378600824,0.0020421227614484854,0.7894554199883714,0.9950617283950617
7,AdaBoost,0.9931069958847736,0.0024476084883478006,0.04957420099526644,0.9938271604938271
