,Algorithm,CrossValMeans,CrossValerrors,Time,test
0,DecisionTree,0.6740781194366715,0.07768677501108809,0.011993676191195846,0.5777777777777778
1,SVC,0.6962304928544377,0.0666406027184078,0.03290891239885241,0.6888888888888889
2,LogisticRegression,0.6545059609848591,0.047467460044379094,0.11716038179583847,0.6444444444444445
3,KNeighboors,0.7059896216348811,0.06800023411351835,0.014394251396879554,0.6962962962962964
4,MultipleLayerPerceptron,0.7108234252443013,0.06289445796197467,1.6053654979914427,0.6925925925925925
5,NaiveBayes,0.4005089502582305,0.09153768766884138,0.014133419771678746,0.48148148148148157
6,RandomForest,0.7901564513862983,0.044928577771984654,0.2158419176004827,0.7814814814814814
7,AdaBoost,0.767753808804339,0.06114468305373801,1.4317876612069085,0.7518518518518519
