,Algorithm,CrossValMeans,CrossValerrors,Time,test
0,DecisionTree,0.7860574058675344,0.05265861681875752,0.3348131539532915,0.7552447552447552
1,SVC,0.5085431747162164,0.05030098968426518,2.254209593986161,0.4195804195804196
2,LogisticRegression,0.8851392862667342,0.027278652774299555,11.985113407019526,0.7972027972027972
3,KNeighboors,0.5929363944674533,0.06794982378778534,0.35798085597343743,0.5804195804195804
4,MultipleLayerPerceptron,0.8670416063558658,0.0529338935693558,6.570258517051116,0.8041958041958042
5,NaiveBayes,0.7136805038169788,0.06479236758126819,0.17011247598566115,0.6993006993006993
6,RandomForest,0.8027638154819918,0.08005124575030134,0.21803919493686408,0.7832167832167832
7,AdaBoost,0.7827908637917819,0.06112101126123004,0.34513332799542695,0.7902097902097902
