,Algorithm,CrossValMeans,CrossValerrors,Time,test
0,DecisionTree,0.7018341535433071,0.02423475654129001,0.01588117703795433,0.6698113207547169
1,SVC,0.8248750984251968,0.0157741102485642,0.19135298498440534,0.8584905660377359
2,LogisticRegression,0.8044155511811024,0.024037029943664374,0.13463803206104785,0.7877358490566038
3,KNeighboors,0.7189823818897638,0.04325553003108972,0.02322853694204241,0.6650943396226415
4,MultipleLayerPerceptron,0.8471995078740158,0.028459799924967395,5.69833963108249,0.8349056603773585
5,NaiveBayes,0.4573903543307087,0.033662667124654815,0.018209581030532718,0.4669811320754717
6,RandomForest,0.760042125984252,0.031971772155581724,0.21189982001669705,0.7216981132075472
7,AdaBoost,0.7570173228346457,0.021713659942212804,1.7999661039793864,0.75
