,Algorithm,CrossValMeans,CrossValerrors,Time,test
0,DecisionTree,0.9432029926595143,0.036574874611975235,0.011399401351809502,0.9385964912280702
1,SVC,0.9689197879415271,0.03630034826170956,0.013470390830965092,0.9517543859649122
2,LogisticRegression,0.9551203024029111,0.03985290227924806,0.033132694312371314,0.956140350877193
3,KNeighboors,0.9735546458372547,0.024552677099841592,0.014228654191053161,0.942982456140351
4,MultipleLayerPerceptron,0.9641037706255098,0.0339079817589947,0.6878871581866406,0.9517543859649122
5,NaiveBayes,0.9480668486103269,0.03946287602365346,0.01318925068092843,0.956140350877193
6,RandomForest,0.9690397766484723,0.03481031365302118,0.045003990177065134,0.9385964912280702
7,AdaBoost,0.9718238283455675,0.0327651163393218,0.08630860069145758,0.9342105263157894
