,Algorithm,CrossValMeans,CrossValerrors,Time,test
0,DecisionTree,0.5894364119810291,0.03390265745958594,0.0397868100553751,0.6425
1,SVC,0.6296468575359302,0.023404896679686874,1.3109137499704957,0.6175
2,LogisticRegression,0.5812942055037642,0.04086679236171183,0.08837014506570995,0.5875
3,KNeighboors,0.5954435208607264,0.04025212865294887,0.04152881703339517,0.595
4,MultipleLayerPerceptron,0.6162711286360778,0.03012458934890841,9.47293502499815,0.6275
5,NaiveBayes,0.5347130278002977,0.03235863482524722,0.01695591292809695,0.54
6,RandomForest,0.668839269135012,0.03131909034626277,0.25302064896095544,0.6925
7,AdaBoost,0.5922109629654966,0.03271783750676312,0.05857222399208695,0.5525
