,Algorithm,CrossValMeans,CrossValerrors,Time,test
0,DecisionTree,0.9455596332518652,0.03269359184744365,0.01688979598111473,0.9320652173913043
1,SVC,0.972827360605243,0.020400252510889,0.06731513747945428,0.9755434782608696
2,LogisticRegression,0.973805631754815,0.02172734047834758,0.0792011140147224,0.9809782608695652
3,KNeighboors,0.9690525269705063,0.0223791105997796,0.01912732151686214,0.9646739130434783
4,MultipleLayerPerceptron,0.9717514555621086,0.013273782860871945,1.0593611294752918,0.9755434782608696
5,NaiveBayes,0.8677167309016349,0.02352080393199787,0.018812628026353195,0.8695652173913044
6,RandomForest,0.9844940125747749,0.011625555573273555,0.22550514599424787,0.9755434782608696
7,AdaBoost,0.9744643323080041,0.01657653188715801,0.491413090727292,0.967391304347826
